Zaman (sn),Voltaj (V),Label
1.2474,1.7213,1
1.2475,1.7157,1
1.2475,1.7141,1
1.2519,1.7133,1
1.2520,1.7092,1
1.2520,1.6504,1
1.2520,1.7165,1
1.2521,1.7165,1
1.2521,1.7181,1
1.2521,1.7213,1
1.2521,1.7221,1
1.2521,1.7076,1
1.2522,1.7318,1
1.2522,1.7399,1
1.2522,1.7415,1
1.2522,1.7447,1
1.2522,1.7495,1
1.2523,1.7576,1
1.2523,1.7656,1
1.2523,1.7527,1
1.2523,1.7745,1
1.2523,1.7801,1
1.2524,1.7834,1
1.2524,1.7874,1
1.2524,1.7955,1
1.2524,1.8027,1
1.2524,1.8035,1
1.2525,1.8027,1
1.2525,1.8148,1
1.2525,1.8172,1
1.2525,1.8204,1
1.2525,1.8229,1
1.2526,1.8261,1
1.2526,1.8277,1
1.2526,1.8325,1
1.2526,1.8116,1
1.2526,1.8382,1
1.2527,1.8406,1
1.2527,1.8406,1
1.2527,1.8398,1
1.2527,1.8462,1
1.2527,1.8430,1
1.2527,1.8446,1
1.2528,1.8478,1
1.2528,1.8446,1
1.2528,1.8430,1
1.2528,1.8454,1
1.2528,1.8446,1
1.2528,1.8462,1
1.2529,1.8438,1
1.2529,1.8462,1
1.2529,1.8462,1
1.2529,1.8478,1
1.2529,1.8462,1
1.2530,1.8478,1
1.2530,1.8583,1
1.2530,1.8462,1
1.2530,1.8551,1
1.2530,1.8470,1
1.2531,1.8551,1
1.2531,1.8462,1
1.2531,1.8349,1
1.2531,1.8495,1
1.2531,1.8486,1
1.2532,1.8478,1
1.2532,1.8478,1
1.2532,1.8470,1
1.2532,1.8462,1
1.2532,1.8414,1
1.2532,1.8422,1
1.2533,1.8398,1
1.2533,1.8390,1
1.2533,1.8382,1
1.2533,1.8374,1
1.2533,1.8358,1
1.2534,1.8309,1
1.2534,1.7914,1
1.2534,1.8309,1
1.2534,1.8261,1
1.2534,1.8277,1
1.2534,1.8188,1
1.2535,1.8164,1
1.2535,1.8067,1
1.2535,1.8043,1
1.2535,1.8043,1
1.2535,1.7987,1
1.2536,1.7938,1
1.2536,1.7947,1
1.2536,1.7866,1
1.2536,1.7511,1
1.2536,1.7834,1
1.2536,1.7793,1
1.2537,1.7697,1
1.2537,1.7697,1
1.2537,1.8124,1
1.2572,1.7536,1
1.2573,1.7511,1
1.2573,1.7415,1
1.2573,1.7294,1
1.2573,1.7423,1
1.2573,1.7366,1
1.2574,1.7205,1
1.2574,1.7318,1
1.2574,1.7253,1
1.2574,1.7149,1
1.2574,1.7173,1
1.2575,1.7060,1
1.2575,1.6988,1
1.2575,1.7060,1
1.2575,1.6947,1
1.2575,1.6907,1
1.2576,1.6891,1
1.2576,1.6810,1
1.2576,1.6754,1
1.2576,1.6705,1
1.2576,1.6673,1
1.2577,1.6641,1
1.2577,1.6552,1
1.2577,1.6625,1
1.2577,1.6464,1
1.2577,1.6399,1
1.2578,1.6407,1
1.2578,1.6262,1
1.2578,1.6270,1
1.2578,1.6311,1
1.2578,1.6198,1
1.2578,1.6149,1
1.2579,1.6109,1
1.2579,1.6021,1
1.2579,1.6053,1
1.2579,1.5948,1
1.2579,1.5900,1
1.2580,1.5892,1
1.2580,1.5851,1
1.2580,1.5827,1
1.2580,1.5835,1
1.2580,1.5747,1
1.2581,1.5722,1
1.2581,1.5610,1
1.2581,1.5634,1
1.2581,1.5650,1
1.2581,1.5610,1
1.2582,1.5577,1
1.2582,1.5545,1
1.2582,1.5473,1
1.2582,1.5408,1
1.2582,1.5432,1
1.2582,1.5384,1
1.2583,1.5400,1
1.2583,1.5448,1
1.2583,1.5311,1
1.2583,1.5174,1
1.2584,1.5303,1
1.2584,1.5279,1
1.2584,1.5255,1
1.2584,1.5231,1
1.2584,1.5255,1
1.2585,1.5239,1
1.2585,1.5150,1
1.2585,1.5142,1
1.2585,1.5029,1
1.2585,1.5126,1
1.2585,1.5126,1
1.2586,1.5142,1
1.2586,1.5102,1
1.2586,1.5045,1
1.2586,1.4997,1
1.2586,1.5110,1
1.2613,1.5094,1
1.2614,1.4779,1
1.2614,1.5086,1
1.2614,1.5102,1
1.2615,1.5070,1
1.2615,1.5062,1
1.2615,1.5037,1
1.2615,1.5053,1
1.2615,1.5094,1
1.2616,1.5029,1
1.2616,1.4997,1
1.2616,1.5021,1
1.2616,1.5005,1
1.2616,1.5053,1
1.2617,1.4957,1
1.2617,1.4989,1
1.2617,1.5062,1
1.2617,1.5005,1
1.2617,1.5126,1
1.2617,1.4884,1
1.2618,1.5029,1
1.2618,1.5021,1
1.2618,1.4812,1
1.2618,1.5126,1
1.2618,1.5045,1
1.2618,1.5086,1
1.2619,1.5062,1
1.2619,1.5102,1
1.2619,1.5086,1
1.2619,1.5118,1
1.2619,1.5094,1
1.2620,1.5110,1
1.2620,1.5094,1
1.2620,1.5102,1
1.2620,1.5118,1
1.2620,1.5118,1
1.2621,1.5134,1
1.2621,1.5142,1
1.2621,1.5134,1
1.2621,1.5134,1
1.2621,1.5408,1
1.2622,1.5134,1
1.2622,1.5190,1
1.2622,1.5150,1
1.2622,1.5190,1
1.2622,1.5231,1
1.2622,1.5199,1
1.2623,1.5223,1
1.2623,1.5239,1
1.2623,1.5255,1
1.2623,1.5263,1
1.2623,1.5279,1
1.2624,1.5287,1
1.2624,1.5287,1
1.2624,1.5303,1
1.2624,1.5319,1
1.2624,1.5360,1
1.2664,1.5360,1
1.2665,1.5368,1
1.2665,1.5376,1
1.2665,1.5400,1
1.2665,1.5400,1
1.2665,1.5424,1
1.2666,1.5424,1
1.2666,1.5416,1
1.2666,1.5432,1
1.2666,1.5448,1
1.2666,1.5392,1
1.2666,1.5456,1
1.2666,1.5529,1
1.2667,1.5537,1
1.2667,1.5513,1
1.2667,1.5513,1
1.2667,1.5553,1
1.2667,1.5577,1
1.2667,1.5626,1
1.2667,1.5618,1
1.2668,1.5642,1
1.2668,1.5642,1
1.2668,1.5626,1
1.2668,1.5626,1
1.2668,1.5642,1
1.2668,1.5642,1
1.2669,1.5682,1
