Zaman (sn),Voltaj (V),Label
37.8066,1.6649,1
37.8067,1.6641,1
37.8067,1.6649,1
37.8067,1.6625,1
37.8067,1.6552,1
37.8067,1.6512,1
37.8067,1.6456,1
37.8067,1.6423,1
37.8068,1.6319,1
37.8068,1.6311,1
37.8068,1.6270,1
37.8068,1.6311,1
37.8068,1.6335,1
37.8068,1.6367,1
37.8069,1.6456,1
37.8069,1.6496,1
37.8069,1.6488,1
37.8069,1.6520,1
37.8069,1.6520,1
37.8069,1.6552,1
37.8069,1.6609,1
37.8070,1.6625,1
37.8070,1.6617,1
37.8070,1.6609,1
37.8070,1.6552,1
37.8070,1.6520,1
37.8071,1.6536,1
37.8071,1.6488,1
37.8071,1.6448,1
37.8071,1.6383,1
37.8071,1.6319,1
37.8071,1.6278,1
37.8071,1.6262,1
37.8072,1.6262,1
37.8072,1.6311,1
37.8072,1.6359,1
37.8072,1.6367,1
37.8072,1.6440,1
37.8072,1.6520,1
37.8072,1.6560,1
37.8073,1.6601,1
37.8073,1.6625,1
37.8073,1.6633,1
37.8073,1.6617,1
37.8073,1.6560,1
37.8073,1.6496,1
37.8073,1.6544,1
37.8074,1.6472,1
37.8074,1.6399,1
37.8074,1.6375,1
37.8074,1.6303,1
37.8074,1.6295,1
37.8074,1.6254,1
37.8074,1.6286,1
37.8075,1.6335,1
37.8075,1.6375,1
37.8075,1.6335,1
37.8075,1.6391,1
37.8075,1.6423,1
37.8076,1.6432,1
37.8076,1.6512,1
37.8076,1.6536,1
37.8076,1.6536,1
37.8076,1.6512,1
37.8076,1.6883,1
37.8076,1.6810,1
37.8077,1.6738,1
37.8077,1.6633,1
37.8077,1.6577,1
37.8077,1.6528,1
37.8077,1.6480,1
37.8077,1.6456,1
37.8077,1.6480,1
37.8078,1.6488,1
37.8078,1.6141,1
37.8078,1.6214,1
37.8078,1.6319,1
37.8078,1.6432,1
37.8078,1.6536,1
37.8078,1.6641,1
37.8079,1.6705,1
37.8079,1.6730,1
37.8079,1.6754,1
37.8079,1.6738,1
37.8079,1.6697,1
37.8079,1.6665,1
37.8080,1.6617,1
37.8080,1.6568,1
37.8080,1.6464,1
37.8080,1.6415,1
37.8080,1.6399,1
37.8081,1.6383,1
37.8081,1.6327,1
37.8081,1.6359,1
37.8081,1.6391,1
37.8081,1.6407,1
37.8081,1.6432,1
37.8082,1.6423,1
37.8082,1.6496,1
37.8082,1.6480,1
37.8082,1.6472,1
37.8082,1.6472,1
37.8082,1.6536,1
37.8082,1.6512,1
37.8083,1.6448,1
37.8083,1.6423,1
37.8083,1.6351,1
37.8083,1.6335,1
37.8083,1.6303,1
37.8083,1.6278,1
37.8083,1.6262,1
37.8084,1.6286,1
37.8084,1.6254,1
37.8084,1.6270,1
37.8084,1.6335,1
37.8084,1.6359,1
37.8084,1.6456,1
37.8084,1.6512,1
37.8085,1.6577,1
37.8085,1.6657,1
37.8085,1.6705,1
37.8085,1.6681,1
37.8085,1.6681,1
37.8086,1.6665,1
37.8086,1.6625,1
37.8086,1.6577,1
37.8086,1.6601,1
37.8086,1.6544,1
37.8086,1.6504,1
37.8087,1.6440,1
37.8087,1.6407,1
37.8087,1.6488,1
37.8087,1.6488,1
37.8087,1.6512,1
37.8087,1.6536,1
37.8087,1.6577,1
37.8088,1.6528,1
37.8088,1.6568,1
37.8088,1.6593,1
